Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,BD,Bangladesh,SEARO,0,0,0,0
2020-01-04,BD,Bangladesh,SEARO,0,0,0,0
2020-01-05,BD,Bangladesh,SEARO,0,0,0,0
2020-01-06,BD,Bangladesh,SEARO,0,0,0,0
2020-01-07,BD,Bangladesh,SEARO,0,0,0,0
2020-01-08,BD,Bangladesh,SEARO,0,0,0,0
2020-01-09,BD,Bangladesh,SEARO,0,0,0,0
2020-01-10,BD,Bangladesh,SEARO,0,0,0,0
2020-01-11,BD,Bangladesh,SEARO,0,0,0,0
2020-01-12,BD,Bangladesh,SEARO,0,0,0,0
2020-01-13,BD,Bangladesh,SEARO,0,0,0,0
2020-01-14,BD,Bangladesh,SEARO,0,0,0,0
2020-01-15,BD,Bangladesh,SEARO,0,0,0,0
2020-01-16,BD,Bangladesh,SEARO,0,0,0,0
2020-01-17,BD,Bangladesh,SEARO,0,0,0,0
2020-01-18,BD,Bangladesh,SEARO,0,0,0,0
2020-01-19,BD,Bangladesh,SEARO,0,0,0,0
2020-01-20,BD,Bangladesh,SEARO,0,0,0,0
2020-01-21,BD,Bangladesh,SEARO,0,0,0,0
2020-01-22,BD,Bangladesh,SEARO,0,0,0,0
2020-01-23,BD,Bangladesh,SEARO,0,0,0,0
2020-01-24,BD,Bangladesh,SEARO,0,0,0,0
2020-01-25,BD,Bangladesh,SEARO,0,0,0,0
2020-01-26,BD,Bangladesh,SEARO,0,0,0,0
2020-01-27,BD,Bangladesh,SEARO,0,0,0,0
2020-01-28,BD,Bangladesh,SEARO,0,0,0,0
2020-01-29,BD,Bangladesh,SEARO,0,0,0,0
2020-01-30,BD,Bangladesh,SEARO,0,0,0,0
2020-01-31,BD,Bangladesh,SEARO,0,0,0,0
2020-02-01,BD,Bangladesh,SEARO,0,0,0,0
2020-02-02,BD,Bangladesh,SEARO,0,0,0,0
2020-02-03,BD,Bangladesh,SEARO,0,0,0,0
2020-02-04,BD,Bangladesh,SEARO,0,0,0,0
2020-02-05,BD,Bangladesh,SEARO,0,0,0,0
2020-02-06,BD,Bangladesh,SEARO,0,0,0,0
2020-02-07,BD,Bangladesh,SEARO,0,0,0,0
2020-02-08,BD,Bangladesh,SEARO,0,0,0,0
2020-02-09,BD,Bangladesh,SEARO,0,0,0,0
2020-02-10,BD,Bangladesh,SEARO,0,0,0,0
2020-02-11,BD,Bangladesh,SEARO,0,0,0,0
2020-02-12,BD,Bangladesh,SEARO,0,0,0,0
2020-02-13,BD,Bangladesh,SEARO,0,0,0,0
2020-02-14,BD,Bangladesh,SEARO,0,0,0,0
2020-02-15,BD,Bangladesh,SEARO,0,0,0,0
2020-02-16,BD,Bangladesh,SEARO,0,0,0,0
2020-02-17,BD,Bangladesh,SEARO,0,0,0,0
2020-02-18,BD,Bangladesh,SEARO,0,0,0,0
2020-02-19,BD,Bangladesh,SEARO,0,0,0,0
2020-02-20,BD,Bangladesh,SEARO,0,0,0,0
2020-02-21,BD,Bangladesh,SEARO,0,0,0,0
2020-02-22,BD,Bangladesh,SEARO,0,0,0,0
2020-02-23,BD,Bangladesh,SEARO,0,0,0,0
2020-02-24,BD,Bangladesh,SEARO,0,0,0,0
2020-02-25,BD,Bangladesh,SEARO,0,0,0,0
2020-02-26,BD,Bangladesh,SEARO,0,0,0,0
2020-02-27,BD,Bangladesh,SEARO,0,0,0,0
2020-02-28,BD,Bangladesh,SEARO,0,0,0,0
2020-02-29,BD,Bangladesh,SEARO,0,0,0,0
2020-03-01,BD,Bangladesh,SEARO,0,0,0,0
2020-03-02,BD,Bangladesh,SEARO,0,0,0,0
2020-03-03,BD,Bangladesh,SEARO,0,0,0,0
2020-03-04,BD,Bangladesh,SEARO,0,0,0,0
2020-03-05,BD,Bangladesh,SEARO,0,0,0,0
2020-03-06,BD,Bangladesh,SEARO,0,0,0,0
2020-03-07,BD,Bangladesh,SEARO,0,0,0,0
2020-03-08,BD,Bangladesh,SEARO,3,3,0,0
2020-03-09,BD,Bangladesh,SEARO,4,7,0,0
2020-03-10,BD,Bangladesh,SEARO,0,7,0,0
2020-03-11,BD,Bangladesh,SEARO,0,7,0,0
2020-03-12,BD,Bangladesh,SEARO,0,7,0,0
2020-03-13,BD,Bangladesh,SEARO,0,7,0,0
2020-03-14,BD,Bangladesh,SEARO,0,7,0,0
2020-03-15,BD,Bangladesh,SEARO,0,7,0,0
2020-03-16,BD,Bangladesh,SEARO,1,8,0,0
2020-03-17,BD,Bangladesh,SEARO,1,9,0,0
2020-03-18,BD,Bangladesh,SEARO,1,10,0,0
2020-03-19,BD,Bangladesh,SEARO,7,17,1,1
2020-03-20,BD,Bangladesh,SEARO,0,17,0,1
2020-03-21,BD,Bangladesh,SEARO,7,24,0,1
2020-03-22,BD,Bangladesh,SEARO,0,24,1,2
2020-03-23,BD,Bangladesh,SEARO,9,33,1,3
2020-03-24,BD,Bangladesh,SEARO,6,39,1,4
2020-03-25,BD,Bangladesh,SEARO,0,39,1,5
2020-03-26,BD,Bangladesh,SEARO,5,44,0,5
2020-03-27,BD,Bangladesh,SEARO,4,48,0,5
2020-03-28,BD,Bangladesh,SEARO,0,48,0,5
2020-03-29,BD,Bangladesh,SEARO,0,48,0,5
2020-03-30,BD,Bangladesh,SEARO,1,49,0,5
2020-03-31,BD,Bangladesh,SEARO,2,51,0,5
2020-04-01,BD,Bangladesh,SEARO,3,54,1,6
2020-04-02,BD,Bangladesh,SEARO,2,56,0,6
2020-04-03,BD,Bangladesh,SEARO,5,61,0,6
2020-04-04,BD,Bangladesh,SEARO,9,70,2,8
2020-04-05,BD,Bangladesh,SEARO,18,88,0,8
2020-04-06,BD,Bangladesh,SEARO,35,123,4,12
2020-04-07,BD,Bangladesh,SEARO,41,164,5,17
2020-04-08,BD,Bangladesh,SEARO,54,218,3,20
2020-04-09,BD,Bangladesh,SEARO,112,330,1,21
2020-04-10,BD,Bangladesh,SEARO,94,424,6,27
2020-04-11,BD,Bangladesh,SEARO,58,482,3,30
2020-04-12,BD,Bangladesh,SEARO,139,621,4,34
2020-04-13,BD,Bangladesh,SEARO,182,803,5,39
2020-04-14,BD,Bangladesh,SEARO,209,1012,7,46
2020-04-15,BD,Bangladesh,SEARO,219,1231,4,50
2020-04-16,BD,Bangladesh,SEARO,341,1572,10,60
2020-04-17,BD,Bangladesh,SEARO,266,1838,15,75
2020-04-18,BD,Bangladesh,SEARO,306,2144,9,84
2020-04-19,BD,Bangladesh,SEARO,312,2456,7,91
2020-04-20,BD,Bangladesh,SEARO,492,2948,10,101
2020-04-21,BD,Bangladesh,SEARO,434,3382,9,110
2020-04-22,BD,Bangladesh,SEARO,390,3772,10,120
